"Published on","Unique ID","Target","Indicator","Indicator Code","Question Number","Question","Response"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1","Is your country landlocked?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1 (a)","Address land-use (terrestrial) change?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1 (b)","Address land-use (inland water) change?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1.2","If the answer to any of the questions in 1.1 is not “No”, were the plans created using a participatory process? (Select all that apply, noting that, if your country is a landlocked State, marine spatial planning will be considered as not relevant)","forTerrestrialPlanning"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.1","Does your country have regulations and processes empowering relevant institutions to implement the measures necessary for a reduction in the introduction and impact of invasive alien species?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.2","Does your country have measures in place for preventing the introduction and establishment of invasive alien species?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.3","Does your country have measures in place for eradicating or controlling invasive alien species?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.1","Does your country’s national biodiversity strategy and action plan include actions to prevent or minimize the impacts of the following (select all that apply):","climateChange"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.2","Do your country’s climate change policies address the impacts of climate change on biodiversity?","Partially"
