"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:58","ORT-NR7ID-MN-288697-1","","7.1 Index of coastal eutrophication","","","","","","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288685-1","","18.2 Value of subsidies and other incentives harmful to biodiversity","","","","","","","A national analytical screening conducted under the UNDP–BIOFIN subsidy repurposing methodology assessed government subsidies and incentives during 2020–2024. The rapid assessment identified approximately MNT 1.96 trillion (equivalent to approximately USD 551.2 million at 1 USD = 3,557 MNT ) in subsidies across agriculture, energy, transport, infrastructure and urban development sectors that may be harmful or potentially harmful to biodiversity. Within agriculture alone, 10 major subsidy instruments accounted for MNT 552.2 billion during 2020–2024. The assessment identified 50 subsidy instruments in total: 29 classified as clearly harmful (24 in agriculture), 21 classified as potentially harmful (16 in agriculture). These figures represent cumulative estimates for 2020–2024 and are derived from national fiscal data screened under BIOFIN methodology. They have not yet been formally adopted as official harmful subsidy accounting in national budget statistics. Annual disaggregated values are not available."
"28-Feb-2026 18:58","ORT-NR7ID-MN-288705-1","","A.1 Red List of Ecosystems","","","","","","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288676-1","","22.1 Land-use change and land tenure in the traditional territories of indigenous peoples and local communities","","","","","","","Target 22 (respecting the traditional culture and rights of Indigenous Peoples and local communities) has not yet been fully mainstreamed into core national development policy packages (e.g., “Vision 2050”), which complicates establishing a single, standardized national reporting approach for “traditional territories” and tenure security under 22.1."
"28-Feb-2026 18:57","ORT-NR7ID-MN-288673-1","","10.1 Proportion of agricultural area under productive and sustainable agriculture","","","","","","","Mongolia has identified the global SDG indicator 2.4.1 – Proportion of agricultural area under productive and sustainable agriculture in its national SDG monitoring framework, with multiple ministries (including the Administration of Land Affairs, Geodesy and Cartography; the Ministry of Environment and Tourism; and the Ministry of Food, Agriculture and Light Industry) designated as responsible for data collection."
"28-Feb-2026 18:58","ORT-NR7ID-MN-288701-1","","C.1 Monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments","","","","","","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288702-1","","B.1 Services provided by ecosystems","","","","","","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288698-1","","5.1 Proportion of fish stocks within biologically sustainable levels","","","","","","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288700-1","","C.2 Non-monetary benefits arising from applicable international access and benefit-sharing instruments","","","","","","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288699-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems","headline","","2021","billion tugrik","242.9","Environmental Protection Expenditure Account and Environmental Subsidies Account.",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288699-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems","headline","","2022","billion tugrik","309.6","Environmental Protection Expenditure Account and Environmental Subsidies Account.",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288699-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems","headline","","2020","billion tugrik","355","Environmental Protection Expenditure Account and Environmental Subsidies Account.",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288699-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems","headline","","2023","billion tugrik","258","Environmental Protection Expenditure Account and Environmental Subsidies Account.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288679-1","","21.1 Indicator on biodiversity information for monitoring the Kunming-Montreal Global Biodiversity Framework","","","","","","","Mongolia has established and expanded national biodiversity information systems (including the Environmental Information Database with multiple biodiversity-related sub-databases and monitoring modules, and the egazar.gov.mn “Biodiversity Statistics” platform). However, biodiversity data remain distributed across multiple systems with uneven updating, interoperability limitations, and incomplete integration of research and international datasets."
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Agriculture","2020","hectares","1268506.5","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Permanent rivers and floodplains","2020","hectares","7052707.8","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","True desert","2020","hectares","12101045.8","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Sand dunes","2020","hectares","3314182.2","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Mixed forest","2020","hectares","6738796.6","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","High mountain alpine","2020","hectares","1626076","Ecosystem classes, WWF Mongolia",""
